,Name,Ranking,A_Type,B_Type,Date,Country
100,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['27.', 'Februar', '2020']",Deutschland
101,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['27.', 'Februar', '2020']",Australien
102,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['27.', 'Februar', '2020']",Deutschland
103,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['26.', 'Februar', '2020']",Deutschland
104,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['26.', 'Februar', '2020']",France
105,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['26.', 'Februar', '2020']",Rumänien
106,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['26.', 'Februar', '2020']",Italien
107,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['26.', 'Februar', '2020']",Rumänien
108,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['25.', 'Februar', '2020']",Niederlande
109,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['25.', 'Februar', '2020']",
110,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['25.', 'Februar', '2020']",Deutschland
111,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['24.', 'Februar', '2020']",
112,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['24.', 'Februar', '2020']",Königreich
113,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'Februar', '2020']",Russland
114,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'Februar', '2020']",Königreich
115,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'Februar', '2020']",
116,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'Februar', '2020']",Niederlande
117,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'Februar', '2020']",Schweden
118,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'Februar', '2020']",
119,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['23.', 'Februar', '2020']",Königreich
120,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['22.', 'Februar', '2020']",Deutschland
121,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['22.', 'Februar', '2020']",Deutschland
122,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['21.', 'Februar', '2020']",Dänemark
123,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['21.', 'Februar', '2020']",Deutschland
124,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['21.', 'Februar', '2020']",
125,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['21.', 'Februar', '2020']",
126,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['21.', 'Februar', '2020']",
127,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['20.', 'Februar', '2020']",Deutschland
128,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['20.', 'Februar', '2020']",Königreich
129,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['20.', 'Februar', '2020']",Deutschland
